date,day_of_week,month,week_number
2013-11-10,1,11,45
2013-11-11,2,11,45
2013-11-12,3,11,46
2013-11-13,4,11,46
2013-11-14,5,11,46
2013-11-15,6,11,46
2013-11-16,7,11,46
2013-11-17,1,11,46
2013-11-18,2,11,46
2013-11-19,3,11,47
2013-11-20,4,11,47
2013-11-21,5,11,47
2013-11-22,6,11,47
2013-11-23,7,11,47
2013-11-24,1,11,47
2013-11-25,2,11,47
2013-11-26,3,11,48
2013-11-27,4,11,48
2013-11-28,5,11,48
2013-11-29,6,11,48
2013-11-30,7,11,48
2013-12-01,1,12,48
2013-12-02,2,12,48
2013-12-03,3,12,49
2013-12-04,4,12,49
2013-12-05,5,12,49
2013-12-06,6,12,49
2013-12-07,7,12,49
2013-12-08,1,12,49
2013-12-09,2,12,49
2013-12-10,3,12,50
2013-12-11,4,12,50
2013-12-12,5,12,50
2013-12-13,6,12,50
2013-12-14,7,12,50
2013-12-15,1,12,50
2013-12-16,2,12,50
2013-12-17,3,12,51
2013-12-18,4,12,51
2013-12-19,5,12,51
2013-12-20,6,12,51
2013-12-21,7,12,51
2013-12-22,1,12,51
2013-12-23,2,12,51
2013-12-24,3,12,52
2013-12-25,4,12,52
2013-12-26,5,12,52
2013-12-27,6,12,52
2013-12-28,7,12,52
2013-12-29,1,12,52
2013-12-30,2,12,52
2013-12-31,3,12,53
2014-01-01,4,1,1
2014-01-02,5,1,1
2014-01-03,6,1,1
2014-01-04,7,1,1
2014-01-05,1,1,1
2014-01-06,2,1,1
2014-01-07,3,1,1
2014-01-08,4,1,2
2014-01-09,5,1,2
2014-01-10,6,1,2
2014-01-11,7,1,2
2014-01-12,1,1,2
2014-01-13,2,1,2
2014-01-14,3,1,2
2014-01-15,4,1,3
2014-01-16,5,1,3
2014-01-17,6,1,3
2014-01-18,7,1,3
2014-01-19,1,1,3
2014-01-20,2,1,3
2014-01-21,3,1,3
2014-01-22,4,1,4
2014-01-23,5,1,4
2014-01-24,6,1,4
2014-01-25,7,1,4
2014-01-26,1,1,4
2014-01-27,2,1,4
2014-01-28,3,1,4
2014-01-29,4,1,5
2014-01-30,5,1,5
2014-01-31,6,1,5
2014-02-01,7,2,5
2014-02-02,1,2,5
2014-02-03,2,2,5
2014-02-04,3,2,5
2014-02-05,4,2,6
2014-02-06,5,2,6
2014-02-07,6,2,6
2014-02-08,7,2,6
2014-02-09,1,2,6
2014-02-10,2,2,6
2014-02-11,3,2,6
2014-02-12,4,2,7
2014-02-13,5,2,7
2014-02-14,6,2,7
2014-02-15,7,2,7
2014-02-16,1,2,7
2014-02-17,2,2,7
2014-02-18,3,2,7
2014-02-19,4,2,8
2014-02-20,5,2,8
2014-02-21,6,2,8
2014-02-22,7,2,8
2014-02-23,1,2,8
2014-02-24,2,2,8
2014-02-25,3,2,8
2014-02-26,4,2,9
2014-02-27,5,2,9
2014-02-28,6,2,9
2014-03-01,7,3,9
2014-03-02,1,3,9
2014-03-03,2,3,9
2014-03-04,3,3,9
2014-03-05,4,3,10
2014-03-06,5,3,10
2014-03-07,6,3,10
2014-03-08,7,3,10
2014-03-09,1,3,10
2014-03-10,2,3,10
2014-03-11,3,3,10
2014-03-12,4,3,11
2014-03-13,5,3,11
2014-03-14,6,3,11
2014-03-15,7,3,11
2014-03-16,1,3,11
2014-03-17,2,3,11
2014-03-18,3,3,11
2014-03-19,4,3,12
2014-03-20,5,3,12
2014-03-21,6,3,12
2014-03-22,7,3,12
2014-03-23,1,3,12
2014-03-24,2,3,12
2014-03-25,3,3,12
2014-03-26,4,3,13
2014-03-27,5,3,13
2014-03-28,6,3,13
2014-03-29,7,3,13
2014-03-30,1,3,13
2014-03-31,2,3,13
2014-04-01,3,4,13
2014-04-02,4,4,14
2014-04-03,5,4,14
2014-04-04,6,4,14
2014-04-05,7,4,14
2014-04-06,1,4,14
2014-04-07,2,4,14
2014-04-08,3,4,14
2014-04-09,4,4,15
2014-04-10,5,4,15
2014-04-11,6,4,15
2014-04-12,7,4,15
2014-04-13,1,4,15
2014-04-14,2,4,15
2014-04-15,3,4,15
2014-04-16,4,4,16
2014-04-17,5,4,16
2014-04-18,6,4,16
2014-04-19,7,4,16
2014-04-20,1,4,16
2014-04-21,2,4,16
2014-04-22,3,4,16
2014-04-23,4,4,17
2014-04-24,5,4,17
2014-04-25,6,4,17
2014-04-26,7,4,17
2014-04-27,1,4,17
2014-04-28,2,4,17
2014-04-29,3,4,17
2014-04-30,4,4,18
2014-05-01,5,5,18
2014-05-02,6,5,18
2014-05-03,7,5,18
2014-05-04,1,5,18
2014-05-05,2,5,18
2014-05-06,3,5,18
2014-05-07,4,5,19
2014-05-08,5,5,19
2014-05-09,6,5,19
2014-05-10,7,5,19
2014-05-11,1,5,19
2014-05-12,2,5,19
2014-05-13,3,5,19
2014-05-14,4,5,20
2014-05-15,5,5,20
2014-05-16,6,5,20
2014-05-17,7,5,20
2014-05-18,1,5,20
2014-05-19,2,5,20
2014-05-20,3,5,20
2014-05-21,4,5,21
2014-05-22,5,5,21
2014-05-23,6,5,21
2014-05-24,7,5,21
2014-05-25,1,5,21
2014-05-26,2,5,21
2014-05-27,3,5,21
2014-05-28,4,5,22
2014-05-29,5,5,22
2014-05-30,6,5,22
2014-05-31,7,5,22
2014-06-01,1,6,22
2014-06-02,2,6,22
2014-06-03,3,6,22
2014-06-04,4,6,23
2014-06-05,5,6,23
2014-06-06,6,6,23
2014-06-07,7,6,23
2014-06-08,1,6,23
2014-06-09,2,6,23
2014-06-10,3,6,23
2014-06-11,4,6,24
2014-06-12,5,6,24
2014-06-13,6,6,24
2014-06-14,7,6,24
2014-06-15,1,6,24
2014-06-16,2,6,24
2014-06-17,3,6,24
2014-06-18,4,6,25
2014-06-19,5,6,25
2014-06-20,6,6,25
2014-06-21,7,6,25
2014-06-22,1,6,25
2014-06-23,2,6,25
2014-06-24,3,6,25
2014-06-25,4,6,26
2014-06-26,5,6,26
2014-06-27,6,6,26
2014-06-28,7,6,26
2014-06-29,1,6,26
2014-06-30,2,6,26
2014-07-01,3,7,26
2014-07-02,4,7,27
2014-07-03,5,7,27
2014-07-04,6,7,27
2014-07-05,7,7,27
2014-07-06,1,7,27
2014-07-07,2,7,27
2014-07-08,3,7,27
2014-07-09,4,7,28
2014-07-10,5,7,28
2014-07-11,6,7,28
2014-07-12,7,7,28
2014-07-13,1,7,28
2014-07-14,2,7,28
2014-07-15,3,7,28
2014-07-16,4,7,29
2014-07-17,5,7,29
2014-07-18,6,7,29
2014-07-19,7,7,29
2014-07-20,1,7,29
2014-07-21,2,7,29
2014-07-22,3,7,29
2014-07-23,4,7,30
2014-07-24,5,7,30
2014-07-25,6,7,30
2014-07-26,7,7,30
2014-07-27,1,7,30
2014-07-28,2,7,30
2014-07-29,3,7,30
2014-07-30,4,7,31
2014-07-31,5,7,31
2014-08-01,6,8,31
2014-08-02,7,8,31
2014-08-03,1,8,31
2014-08-04,2,8,31
2014-08-05,3,8,31
2014-08-06,4,8,32
2014-08-07,5,8,32
2014-08-08,6,8,32
2014-08-09,7,8,32
2014-08-10,1,8,32
2014-08-11,2,8,32
2014-08-12,3,8,32
2014-08-13,4,8,33
2014-08-14,5,8,33
2014-08-15,6,8,33
2014-08-16,7,8,33
2014-08-17,1,8,33
2014-08-18,2,8,33
2014-08-19,3,8,33
2014-08-20,4,8,34
2014-08-21,5,8,34
2014-08-22,6,8,34
2014-08-23,7,8,34
2014-08-24,1,8,34
2014-08-25,2,8,34
2014-08-26,3,8,34
2014-08-27,4,8,35
2014-08-28,5,8,35
2014-08-29,6,8,35
2014-08-30,7,8,35
2014-08-31,1,8,35
2014-09-01,2,9,35
2014-09-02,3,9,35
2014-09-03,4,9,36
2014-09-04,5,9,36
2014-09-05,6,9,36
2014-09-06,7,9,36
2014-09-07,1,9,36
2014-09-08,2,9,36
2014-09-09,3,9,36
2014-09-10,4,9,37
2014-09-11,5,9,37
2014-09-12,6,9,37
2014-09-13,7,9,37
2014-09-14,1,9,37
2014-09-15,2,9,37
2014-09-16,3,9,37
2014-09-17,4,9,38
2014-09-18,5,9,38
2014-09-19,6,9,38
2014-09-20,7,9,38
2014-09-21,1,9,38
2014-09-22,2,9,38
2014-09-23,3,9,38
2014-09-24,4,9,39
2014-09-25,5,9,39
2014-09-26,6,9,39
2014-09-27,7,9,39
2014-09-28,1,9,39
2014-09-29,2,9,39
2014-09-30,3,9,39
2014-10-01,4,10,40
2014-10-02,5,10,40
2014-10-03,6,10,40
2014-10-04,7,10,40
2014-10-05,1,10,40
2014-10-06,2,10,40
2014-10-07,3,10,40
2014-10-08,4,10,41
2014-10-09,5,10,41
2014-10-10,6,10,41
2014-10-11,7,10,41
2014-10-12,1,10,41
2014-10-13,2,10,41
2014-10-14,3,10,41
2014-10-15,4,10,42
2014-10-16,5,10,42
2014-10-17,6,10,42
2014-10-18,7,10,42
2014-10-19,1,10,42
2014-10-20,2,10,42
2014-10-21,3,10,42
2014-10-22,4,10,43
2014-10-23,5,10,43
2014-10-24,6,10,43
2014-10-25,7,10,43
2014-10-26,1,10,43
2014-10-27,2,10,43
2014-10-28,3,10,43
